"materialsar","materialsen","quantityar","quantityen","quarterar","quarteren","yearar","yearen","average_pricesar","average_pricesen"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2014","2014","231.42","231.42"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2014","2014","236.42","236.42"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2014","2014","2420","2420"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2014","2014","2481.33","2481.33"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2014","2014","66.47","66.47"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2014","2014","100.56","100.56"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2014","2014","119","119"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2014","2014","14.75","14.75"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2014","2014","13.92","13.92"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2014","2014","34.67","34.67"
"الجير","Lime","","","Q4","Q4","2014","2014","19.42","19.42"
"الجبس","Gypsum","","","Q4","Q4","2014","2014","10.86","10.86"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2014","2014","912.5","912.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2014","2014","912.5","912.5"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2014","2014","1038.89","1038.89"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2014","2014","937.5","937.5"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2014","2014","875","875"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2014","2014","591.67","591.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2014","2014","1.91","1.91"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2014","2014","2.11","2.11"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2014","2014","2.24","2.24"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2014","2014","3.02","3.02"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2014","2014","3.52","3.52"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2014","2014","3.37","3.37"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2014","2014","235.92","235.92"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2014","2014","240.92","240.92"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2014","2014","2390.42","2390.42"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2014","2014","2446.67","2446.67"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2014","2014","64.13","64.13"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2014","2014","100.67","100.67"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2014","2014","116.27","116.27"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2015","2015","14.75","14.75"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2015","2015","13.92","13.92"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2015","2015","34.71","34.71"
"الجير","Lime","","","Q1","Q1","2015","2015","19.33","19.33"
"الجبس","Gypsum","","","Q1","Q1","2015","2015","10.76","10.76"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2015","2015","912.5","912.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2015","2015","912.5","912.5"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2015","2015","1050","1050"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2015","2015","937.5","937.5"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2015","2015","875","875"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2015","2015","600","600"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2015","2015","1.98","1.98"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2015","2015","2.13","2.13"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2015","2015","2.27","2.27"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2015","2015","3.05","3.05"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2015","2015","3.57","3.57"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2015","2015","3.4","3.4"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2015","2015","232.17","232.17"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2015","2015","237.17","237.17"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2015","2015","2222.92","2222.92"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2015","2015","2284.33","2284.33"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2015","2015","65.07","65.07"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2015","2015","97.78","97.78"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2015","2015","112","112"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2015","2015","14.75","14.75"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2015","2015","13.89","13.89"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2015","2015","34.71","34.71"
"الجير","Lime","","","Q2","Q2","2015","2015","18.5","18.5"
"الجبس","Gypsum","","","Q2","Q2","2015","2015","10.52","10.52"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2015","2015","912.5","912.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2015","2015","925","925"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2015","2015","1066.67","1066.67"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2015","2015","937.5","937.5"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2015","2015","875","875"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2015","2015","600","600"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2015","2015","1.98","1.98"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2015","2015","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2015","2015","2.28","2.28"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2015","2015","3.01","3.01"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2015","2015","3.51","3.51"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2015","2015","3.39","3.39"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2015","2015","234.25","234.25"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2015","2015","239.25","239.25"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2015","2015","2134.58","2134.58"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2015","2015","2151","2151"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2015","2015","64.87","64.87"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2015","2015","94.56","94.56"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2015","2015","107.53","107.53"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2015","2015","14.75","14.75"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2015","2015","13.83","13.83"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2015","2015","34.57","34.57"
"الجير","Lime","","","Q3","Q3","2015","2015","18.58","18.58"
"الجبس","Gypsum","","","Q3","Q3","2015","2015","10.14","10.14"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2015","2015","912.5","912.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2015","2015","925","925"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2015","2015","1066.67","1066.67"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2015","2015","937.5","937.5"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2015","2015","875","875"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2015","2015","600","600"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2015","2015","1.95","1.95"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2015","2015","2.15","2.15"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2015","2015","2.3","2.3"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2015","2015","2.93","2.93"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2015","2015","3.4","3.4"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2015","2015","3.36","3.36"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2015","2015","234.33","234.33"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2015","2015","239.33","239.33"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2015","2015","1985","1985"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2015","2015","1978","1978"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2015","2015","60.8","60.8"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2015","2015","88.67","88.67"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2015","2015","102.73","102.73"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2015","2015","14.63","14.63"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2015","2015","13.58","13.58"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2015","2015","34.57","34.57"
"الجير","Lime","","","Q4","Q4","2015","2015","18.75","18.75"
"الجبس","Gypsum","","","Q4","Q4","2015","2015","9.62","9.62"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2015","2015","912.5","912.5"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2015","2015","925","925"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2015","2015","1066.67","1066.67"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2015","2015","937.5","937.5"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2015","2015","862.5","862.5"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2015","2015","600","600"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2015","2015","1.95","1.95"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2015","2015","2.13","2.13"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2015","2015","2.27","2.27"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2015","2015","2.93","2.93"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2015","2015","3.4","3.4"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2015","2015","3.36","3.36"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2015","2015","233.75","233.75"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2015","2015","238.75","238.75"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2015","2015","1809.58","1809.58"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2015","2015","1797.67","1797.67"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2015","2015","56.2","56.2"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2015","2015","73.11","73.11"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2015","2015","93.07","93.07"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2016","2016","14.63","14.63"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2016","2016","13.5","13.5"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2016","2016","34.5","34.5"
"الجير","Lime","","","Q1","Q1","2016","2016","18.75","18.75"
"الجبس","Gypsum","","","Q1","Q1","2016","2016","9.43","9.43"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2016","2016","879.17","879.17"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2016","2016","900","900"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2016","2016","1033.33","1033.33"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2016","2016","841.67","841.67"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2016","2016","841.67","841.67"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2016","2016","558.33","558.33"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2016","2016","1.91","1.91"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2016","2016","2.1","2.1"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2016","2016","2.26","2.26"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2016","2016","3.09","3.09"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2016","2016","3.58","3.58"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2016","2016","3.55","3.55"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2016","2016","237.92","237.92"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2016","2016","242.92","242.92"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2016","2016","1740.42","1740.42"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2016","2016","1739","1739"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2016","2016","55.27","55.27"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2016","2016","71.67","71.67"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2016","2016","92","92"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2016","2016","14.38","14.38"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2016","2016","13.28","13.28"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2016","2016","34.21","34.21"
"الجير","Lime","","","Q2","Q2","2016","2016","18.75","18.75"
"الجبس","Gypsum","","","Q2","Q2","2016","2016","9.36","9.36"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2016","2016","925","925"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2016","2016","955.83","955.83"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2016","2016","1091.67","1091.67"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2016","2016","870.83","870.83"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2016","2016","900","900"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2016","2016","600","600"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2016","2016","2","2"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2016","2016","2.21","2.21"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2016","2016","2.38","2.38"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2016","2016","3.12","3.12"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2016","2016","3.56","3.56"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2016","2016","3.61","3.61"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2016","2016","242.5","242.5"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2016","2016","247.5","247.5"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2016","2016","2416.67","2416.67"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2016","2016","2390","2390"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2016","2016","63.2","63.2"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2016","2016","80.44","80.44"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2016","2016","98.27","98.27"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2016","2016","14.04","14.04"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2016","2016","13.5","13.5"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2016","2016","34.07","34.07"
"الجير","Lime","","","Q3","Q3","2016","2016","18.5","18.5"
"الجبس","Gypsum","","","Q3","Q3","2016","2016","9.1","9.1"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2016","2016","950","950"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2016","2016","983.33","983.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2016","2016","1137.5","1137.5"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2016","2016","908.33","908.33"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2016","2016","900","900"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2016","2016","604.17","604.17"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2016","2016","2.02","2.02"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2016","2016","2.25","2.25"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2016","2016","2.44","2.44"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2016","2016","3.03","3.03"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2016","2016","3.4","3.4"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2016","2016","3.53","3.53"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2016","2016","242.5","242.5"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2016","2016","247.5","247.5"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2016","2016","1933.33","1933.33"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2016","2016","1956.67","1956.67"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2016","2016","58.47","58.47"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2016","2016","76.56","76.56"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2016","2016","90.6","90.6"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2016","2016","13.96","13.96"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2016","2016","13.5","13.5"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2016","2016","34.12","34.12"
"الجير","Lime","","","Q4","Q4","2016","2016","18","18"
"الجبس","Gypsum","","","Q4","Q4","2016","2016","9.1","9.1"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2016","2016","950","950"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2016","2016","975","975"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2016","2016","1137.5","1137.5"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2016","2016","900","900"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2016","2016","900","900"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2016","2016","562.5","562.5"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2016","2016","2.03","2.03"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2016","2016","2.26","2.26"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2016","2016","2.44","2.44"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2016","2016","3.07","3.07"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2016","2016","3.49","3.49"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2016","2016","3.59","3.59"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2016","2016","241.25","241.25"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2016","2016","246.25","246.25"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2016","2016","1877.08","1877.08"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2016","2016","1840","1840"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2016","2016","58.6","58.6"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2016","2016","76.22","76.22"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2016","2016","93.07","93.07"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2017","2017","14.13","14.13"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2017","2017","13.5","13.5"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2017","2017","34.21","34.21"
"الجير","Lime","","","Q1","Q1","2017","2017","18","18"
"الجبس","Gypsum","","","Q1","Q1","2017","2017","9","9"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2017","2017","975","975"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2017","2017","1033.33","1033.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2017","2017","1195.83","1195.83"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2017","2017","883.33","883.33"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2017","2017","916.67","916.67"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2017","2017","579.17","579.17"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2017","2017","2.02","2.02"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2017","2017","2.23","2.23"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2017","2017","2.42","2.42"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2017","2017","3.18","3.18"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2017","2017","3.38","3.38"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2017","2017","3.64","3.64"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2017","2017","240.83","240.83"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2017","2017","245.83","245.83"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2017","2017","1975.83","1975.83"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2017","2017","1961.33","1961.33"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2017","2017","57.07","57.07"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2017","2017","78.61","78.61"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2017","2017","92.8","92.8"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2017","2017","15.13","15.13"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2017","2017","14.33","14.33"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2017","2017","34.21","34.21"
"الجير","Lime","","","Q2","Q2","2017","2017","18","18"
"الجبس","Gypsum","","","Q2","Q2","2017","2017","9","9"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2017","2017","1037.5","1037.5"
